size_ratio,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.545,0.48844517015581784,0.5115548298441821,0.2147840307172569,-12.046927627487698,-9.517753958076586,-12.575749666704489,-10.888059989363345,1.4688061031130946
1.55,0.49019475939075036,0.5098052406092495,0.21192829754231507,-12.046411449769451,-9.518600689568636,-12.57562426727352,-10.892327814817651,1.4721387233734187
1.5550000000000002,0.49191408018129346,0.5080859198187065,0.20891951015253785,-12.045916439977804,-9.51946890537627,-12.575496879863826,-10.896553115598817,1.475403797051549
1.56,0.4936038189414043,0.5063961810585959,0.20617796482902434,-12.045442354858347,-9.520357201866867,-12.575367398422188,-10.900737976440062,1.4786046241667965
1.565,0.4952646435873091,0.5047353564126907,0.20328031489749274,-12.044988975849854,-9.521264290287618,-12.57523565429063,-10.904884394412676,1.4817442871617594
1.57,0.49689761445565106,0.5031023855443492,0.2004363513719581,-12.044556107660721,-9.522188995315338,-12.575101422400497,-10.908994264947252,1.4848256419092354
1.5750000000000002,0.49850412151902934,0.5014958784809709,0.19785746561769818,-12.044143576788803,-9.52313025313727,-12.574964427321554,-10.913069369335833,1.4878513104807067
1.58,0.5000829384024007,0.4999170615975992,0.19533089513311172,-12.043751229994923,-9.52408710907533,-12.574824349129651,-10.917111363852294,1.4908236757794016
1.585,0.501634117525138,0.49836588247486197,0.19274940355461484,-12.043378932738433,-9.52505871476671,-12.574680829062146,-10.921121770609659,1.4937448781256888
1.5899999999999999,0.5031587508820583,0.4968412491179416,0.19032468183624146,-12.043026567581261,-9.52604432491483,-12.574533474936421,-10.925101970253408,1.4966168138660523
1.595,0.5046565365781723,0.49534346342182795,0.1879496591829497,-12.04269403256547,-9.527043293625303,-12.574381866312313,-10.929053196568873,1.4994411360591153
1.6,0.5061282212649136,0.49387177873508625,0.18551696037894538,-12.04238123956782,-9.528055070342743,-12.574225559384336,-10.932976533058998,1.5022192572730095
1.605,0.5075740309899214,0.4924259690100787,0.18323894189255666,-12.042088112633934,-9.529079195405119,-12.57406409159484,-10.93687291152626,1.5049523545088017
1.6099999999999999,0.5089947210477986,0.4910052789522014,0.1806878282127294,-12.041814586293494,-9.530115295233497,-12.573896985963383,-10.940743112669576,1.5076413762440142
1.615,0.5103897852031111,0.4896102147968889,0.17893125780351415,-12.041560603857407,-9.531163077176094,-12.573723755132148,-10.944587768683917,1.5102870515695503
1.62,0.5117594905542782,0.4882405094457216,0.17690024663886314,-12.041326115697334,-9.532222324026687,-12.573543905130704,-10.94840736782707,1.5128899013719517
1.625,0.5131041568758749,0.4868958431241251,0.17480793950751744,-12.041111077507658,-9.533292888238634,-12.573356938866896,-10.952202260895186,1.5154502514918289
1.63,0.5144243670462463,0.48557563295375383,0.17276037918904447,-12.040915448550026,-9.534374685857028,-12.573162359353569,-10.95597266952623,1.5179682477681324
1.635,0.5157202420037876,0.4842797579962124,0.1707569345502524,-12.040739189880584,-9.5354676901928,-12.572959672683272,-10.959718696228911,1.5204438728573977
1.6400000000000001,0.5169925184274382,0.48300748157256174,0.1687969839876395,-12.040582262560457,-9.536571925263964,-12.57274839076523,-10.963440336013827,1.5228769646968527
1.645,0.5182430685302984,0.48175693146970155,0.16687991285189063,-12.0404446258504,-9.537687459030725,-12.572528033840383,-10.967137489484305,1.5252672364611968
1.65,0.5194711995737753,0.4805288004262245,0.16511202653212503,-12.040326235391364,-9.538814396452711,-12.572298132791712,-10.970809977226434,1.5276142978445832
1.655,0.5206773368091232,0.479322663190877,0.1632789191756992,-12.040227041373235,-9.539952872398223,-12.572058231267642,-10.974457555321472,1.5299176774824295
1.6600000000000001,0.5218617153553803,0.4781382846446197,0.16137988519971705,-12.040146986695307,-9.541103044437286,-12.571807887636792,-10.978079931789663,1.532176846312083
1.665,0.5230254657151885,0.47697453428481157,0.1596282449773662,-12.040086005122706,-9.542265085551943,-12.57154667679239,-10.981676783762216,1.5343912416578032
1.67,0.5241670879002558,0.47583291209974415,0.15802347159904237,-12.040044019444428,-9.543439176799389,-12.571274191824159,-10.985247775168318,1.5365602918132355
1.675,0.5252867367847402,0.4747132632152598,0.15635090584930128,-12.040020939639664,-9.54462549996527,-12.570990045574804,-10.988792574716584,1.5386834408848775
1.6800000000000002,0.5263850807140207,0.4736149192859792,0.15471693183775664,-12.040016661060477,-9.545824230246748,-12.57069387209718,-10.992310873945202,1.5407601736518615
1.685,0.5274642521065377,0.4725357478934625,0.1531209190406726,-12.040031062640068,-9.547035529006667,-12.570385328026813,-10.99580240511276,1.5427900401921586
1.69,0.5285232938312846,0.4714767061687155,0.15156222815691892,-12.04006400513727,-9.548259536642275,-12.570064093882875,-10.999266958701787,1.544772680021931
