field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
bulk,2,3,36,1.363636,0.9800378009591952,0.002069127979087271,0.002447127779377424,0.0003779998002901531
bulk,2,3,41,1.414141,0.9800378009591952,0.0029980164694676736,0.0030587902918307996,6.0773822363126024e-05
bulk,2,3,47,1.474747,0.9800378009591952,0.0031861010194478524,0.004149144818498825,0.0009630437990509723
bulk,2,3,52,1.525253,0.9800378009591952,0.0032204001764486066,0.0038094141161245,0.0005890139396758933
bulk,2,3,58,1.585859,0.9800378009591952,0.0028107606375757997,0.0029477598413680155,0.0001369992037922158
bulk,2,3,63,1.636364,0.9800378009591952,0.0026757364175652404,0.0030260605431117957,0.0003503241255465553
bulk,2,3,69,1.69697,0.9800378009591952,0.002768970153304462,0.003920204569350567,0.0011512344160461048
bulk,2,3,74,1.747475,0.9800378009591952,0.002151751961513425,0.0024188734929088576,0.0002671215313954328
bulk,2,3,80,1.808081,0.9800378009591952,0.002294477128482068,0.0031810921108790875,0.0008866149823970196
bulk,2,3,86,1.868687,0.9800378009591952,0.0027554542047937454,0.002968758685446433,0.00021330448065268745
bulk,2,3,91,1.919192,0.9800378009591952,0.002652167674142678,0.004391204092458737,0.001739036418316059
bulk,2,3,97,1.979798,0.9800378009591952,0.0028059915520959483,0.0031734355565067184,0.0003674440044107701
bulk,2,4,2,1.020202,0.9836906040814387,0.003221123454690528,0.0037296361780710277,0.0005085127233804996
bulk,2,4,8,1.080808,0.9836906040814387,0.0023070054322603282,0.00354766243254331,0.0012406570002829816
bulk,2,4,13,1.131313,0.9836906040814387,0.0026346802740224023,0.003259454333122295,0.0006247740590998928
bulk,2,4,19,1.191919,0.9836906040814387,0.0029449909817046748,0.004725030173694017,0.0017800391919893426
bulk,2,4,24,1.242424,0.9836906040814387,0.0023610748194413354,0.006448358077095861,0.004087283257654526
bulk,2,4,30,1.30303,0.9836906040814387,0.0029888691271506757,0.004287963760431475,0.0012990946332807995
bulk,2,4,36,1.363636,0.9836906040814387,0.002022780064041428,0.0024232256297327783,0.00040044556569135024
bulk,2,4,41,1.414141,0.9836906040814387,0.002945164168045451,0.0030076441951232148,6.248002707776382e-05
bulk,2,4,47,1.474747,0.9836906040814387,0.0028211473502206376,0.003903253576581572,0.0010821062263609346
bulk,2,4,52,1.525253,0.9836906040814387,0.0031192162325053823,0.0038565511078919976,0.0007373348753866153
bulk,2,4,58,1.585859,0.9836906040814387,0.0028070999292688905,0.00365495719300308,0.0008478572637341895
bulk,2,4,63,1.636364,0.9836906040814387,0.002610478374355778,0.003195185830944008,0.0005847074565882302
bulk,2,4,69,1.69697,0.9836906040814387,0.002700214789162577,0.003927858848459506,0.0012276440592969289
bulk,2,4,74,1.747475,0.9836906040814387,0.002143477251065601,0.0024207997290015743,0.00027732247793597333
bulk,2,4,80,1.808081,0.9836906040814387,0.002291587733275462,0.003245748075856259,0.000954160342580797
bulk,2,4,86,1.868687,0.9836906040814387,0.0027410794388261855,0.003449027205989841,0.0007079477671636555
bulk,2,4,91,1.919192,0.9836906040814387,0.002651342718070138,0.0044214233081603955,0.0017700805900902573
bulk,2,4,97,1.979798,0.9836906040814387,0.002704105705866267,0.003093410961446237,0.0003893052555799699
bulk,2,6,2,1.020202,0.9874467880783331,0.002329694533941161,0.0045419397439670625,0.0022122452100259015
bulk,2,6,8,1.080808,0.9874467880783331,0.002077378241715167,0.003448476611603795,0.0013710983698886283
