size_ratio,coefficient_1,coefficient_2,coefficient_3,coefficient_4,coefficient_5,coefficient_6
1.848485,1.9963390224945845,-0.3409793355330468,0.04429099445413431,0.026999643262634623,-0.05383400219640972,0.03752029193074883
1.858586,1.944646330401004,-0.32399914765597604,0.04217927047512041,0.04435096684751895,0.0075867819930370475,-0.04757502667726567
1.868687,2.0472410712136413,-0.3937035621171226,0.059224720124444824,-0.0173122818515657,0.03952303351236844,0.013982038531602247
1.878788,2.1160712182014785,-0.43542849364875874,0.05599879375984985,-0.04333217777217783,-0.031175203070836127,0.003245081478846074
1.888889,1.9973274589722614,-0.395141660870607,0.07569134054325768,0.010471902926977151,0.0017224953721660349,-0.06938632754172609
1.89899,2.0639032524522225,-0.4342609091023265,0.09141388610735039,0.05459521635206999,-0.045007575412475555,0.004316756795879955
1.909091,2.0864142315248,-0.4113371567910305,0.050372240795606,0.02144838634551102,-0.061960448801180776,0.02646714868779724
1.919192,2.1269975073497265,-0.4356581698102194,0.060064084475918385,-0.05090645008423154,-0.0025628413552778602,-0.04207043893765884
1.929293,2.0950700210570545,-0.428603604273082,0.08724470962533531,-0.017623982620213686,0.024738423716957603,-0.014229805559761355
1.939394,2.1207701564416084,-0.49191648496337353,0.12219885890249708,0.041476665279048794,0.00772294417823831,-0.025905334691050073
1.949495,2.1441863511950277,-0.49058052585351164,0.12838697581074365,0.04905799303251101,0.013306571463483,-0.01940396600221547
1.959596,2.2030529899869165,-0.5099752466049816,0.10842224689676155,0.05024971625108507,-0.03168202071938562,0.0066056271141168585
1.969697,2.149413316822707,-0.48657491048694806,0.09037045190117697,-0.01091048775668339,-0.018196828317626895,-0.031025788478234933
1.979798,2.1712681555505795,-0.5354694679138637,0.15328779587285862,0.04961013929861786,-0.008414841086373923,-0.025822493691679133
1.989899,2.1605156162697123,-0.5299945885435546,0.15235407828604322,0.08332501513042413,-0.06916732346394819,0.04248091939949606
2.0,2.280023521470023,-0.5569671461369671,0.13506503779209936,-0.045676819834273685,0.005077481102258964,0.023221488680553216
