field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error,random_state
bulk,2,3,69,1.69697,0.9800378009591952,0.002768970153304462,0.0034235643710410755,0.0006545942177366136,1203
bulk,2,3,74,1.747475,0.9800378009591952,0.002151751961513425,0.002418362166377539,0.0002666102048641144,1203
bulk,2,3,80,1.808081,0.9800378009591952,0.002294477128482068,0.0023739947953998457,7.951766691777782e-05,1203
bulk,2,3,86,1.868687,0.9800378009591952,0.0027554542047937454,0.002992488248841412,0.00023703404404766667,1203
bulk,2,3,91,1.919192,0.9800378009591952,0.002652167674142678,0.004529668240582243,0.0018775005664395652,1203
bulk,2,3,97,1.979798,0.9800378009591952,0.0028059915520959483,0.003031129627860145,0.00022513807576419673,1203
bulk,2,4,2,1.020202,0.9836906040814387,0.003221123454690528,0.0035596285285143265,0.00033850507382379843,1204
bulk,2,4,8,1.080808,0.9836906040814387,0.0023070054322603282,0.004481805227878356,0.002174799795618028,1204
bulk,2,4,13,1.131313,0.9836906040814387,0.0026346802740224023,0.002792452699765527,0.00015777242574312482,1204
bulk,2,4,19,1.191919,0.9836906040814387,0.0029449909817046748,0.004579154255466526,0.001634163273761851,1204
bulk,2,4,24,1.242424,0.9836906040814387,0.0023610748194413354,0.005296355436265892,0.002935280616824557,1204
bulk,2,4,30,1.30303,0.9836906040814387,0.0029888691271506757,0.0035653467475595863,0.0005764776204089106,1204
bulk,2,4,36,1.363636,0.9836906040814387,0.002022780064041428,0.0022802585554193558,0.0002574784913779277,1204
bulk,2,4,41,1.414141,0.9836906040814387,0.002945164168045451,0.004486088087348317,0.001540923919302866,1204
bulk,2,4,47,1.474747,0.9836906040814387,0.0028211473502206376,0.0035206850990123846,0.000699537748791747,1204
bulk,2,4,52,1.525253,0.9836906040814387,0.0031192162325053823,0.004021548242163412,0.0009023320096580301,1204
bulk,2,4,58,1.585859,0.9836906040814387,0.0028070999292688905,0.0029607237621672856,0.00015362383289839509,1204
bulk,2,4,63,1.636364,0.9836906040814387,0.002610478374355778,0.0026608118894264616,5.033351507068365e-05,1204
bulk,2,4,69,1.69697,0.9836906040814387,0.002700214789162577,0.0032341365160044274,0.0005339217268418503,1204
bulk,2,4,74,1.747475,0.9836906040814387,0.002143477251065601,0.002311891757828399,0.00016841450676279793,1204
