field,rank,relative_l2_error_percent,normalised_l1_error_percent,active_bed_rmse,correlation,field_integral,integral_error_percent,field_centroid_error,maximum_volume_fraction,grid_fraction_phi_gt_one_percent,route,error_multiple_of_cycle_variation,maximum_over_true_maximum,minimum_volume_fraction,grid_fraction_phi_lt_zero_percent,case_id,size_ratio,grid_size,cutoff,evaluation_role,runtime_seconds
CG then POD,27,1.2791190657348201,1.2178241891937343,0.003287005316515974,0.9998984773781086,282.7605629262149,-1.88706121512203e-05,0.016391424269760216,0.5245017485328533,0.0,CG then POD,0.9161118194299566,0.9961194445398827,-4.0766747835939125e-18,1.0133333333333332,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
Particle POD then CG,27,101.51371955115644,68.42272450479385,0.2609432474303427,0.7821235877506236,282.03151504688435,-0.2578510570422635,0.01984761873527217,2.2509979446454915,1.6177777777777778,Particle POD then CG,72.70466120500474,4.275034027155843,0.0,0.0,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
CG then POD,100,1.230748697192437,1.1756546167013675,0.0031620038737317398,0.9999060782822315,282.7605783427494,-1.3418461601483053e-05,0.017012300272245533,0.5252061235001434,0.0,CG then POD,0.8814687064321813,0.9974571743055651,-1.536580679434956e-05,1.2977777777777777,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
Particle POD then CG,100,98.26315025728458,66.4410115430548,0.25258575444759757,0.7891784291669468,281.9928033014457,-0.2715416996597842,0.02428934412505516,2.1929244825817555,1.6,Particle POD then CG,70.37658633710228,4.164742488690527,0.0,0.0,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
CG then POD,27,0.9963306133443736,0.9801818707669046,0.0024704143529439815,0.9999384650886346,282.7608289786125,-4.072583971582896e-06,0.01774058023278506,0.5218582712158661,0.0,CG then POD,0.8875585149522636,0.9983113421578094,-1.1090910740926673e-09,0.9422222222222223,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
Particle POD then CG,27,97.56965098446729,66.86312401538399,0.24199250467592148,0.7950067738365321,282.0012455590403,-0.2686351242686411,0.0206005627762241,2.029401928869489,1.6,Particle POD then CG,86.9177092145138,3.8822321598296643,0.0,0.0,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
CG then POD,100,0.9172111903823381,0.907763541627598,0.002272340944792748,0.9999478089603929,282.7608287281307,-4.1611682944076215e-06,0.014984538753328346,0.5226827086395116,0.0,CG then POD,0.8170767726394916,0.999888485371439,-6.08553169399535e-05,2.2933333333333334,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
Particle POD then CG,100,94.6295678699928,65.00569403846731,0.2346990869625108,0.8011809980493482,281.9632527329632,-0.2820715060571018,0.025000653199907782,1.9914313029153252,1.6,Particle POD then CG,84.29860289782648,3.8095946092729664,0.0,0.0,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
CG then POD,27,1.7340971627937445,1.611263605504422,0.00458627021613903,0.9998133350218418,282.7615034904605,-0.00015998791125852217,0.013632381137973385,0.5270270387717275,0.0,CG then POD,0.9513121414061848,0.9957525214210556,-4.424469288146289e-18,0.49,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
Particle POD then CG,27,105.05367195725563,69.78710115566054,0.27794734333858706,0.7700936371444702,282.05220015595717,-0.25100820838963706,0.019385467002098596,2.5366986989855866,1.67,Particle POD then CG,57.63162282742663,4.792779003307397,0.0,0.0,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
