model,rank,method,operation,block,calls_per_block,time_per_query_ms
paper_rank15,15,piecewise_linear,full_field_prediction,6,40,0.11929702499999999
paper_rank15,15,piecewise_linear,full_field_prediction,7,40,0.117593075
paper_rank15,15,piecewise_linear,full_field_prediction,8,40,0.14301425
paper_rank15,15,piecewise_linear,full_field_prediction,9,40,0.156945125
paper_rank15,15,piecewise_linear,full_field_prediction,10,40,0.12713775
paper_rank15,15,piecewise_linear,full_field_prediction,11,40,0.13190222499999998
paper_rank15,15,piecewise_linear,full_field_prediction,12,40,0.14344625
paper_rank15,15,piecewise_linear,full_field_prediction,13,40,0.12230295
paper_rank15,15,piecewise_linear,full_field_prediction,14,40,0.11988257499999999
paper_rank15,15,piecewise_linear,full_field_prediction,15,40,0.12039910000000001
paper_rank15,15,piecewise_linear,full_field_prediction,16,40,0.11117002499999999
paper_rank15,15,piecewise_linear,full_field_prediction,17,40,0.12202895
paper_rank15,15,piecewise_linear,full_field_prediction,18,40,0.1280694
paper_rank15,15,piecewise_linear,full_field_prediction,19,40,0.12244025
paper_rank15,15,piecewise_linear,full_field_prediction,20,40,0.1182059
paper_rank15,15,piecewise_linear,full_field_prediction,21,40,0.11636555
paper_rank15,15,piecewise_linear,full_field_prediction,22,40,0.118706275
paper_rank15,15,piecewise_linear,full_field_prediction,23,40,0.11726862499999999
paper_rank15,15,piecewise_linear,full_field_prediction,24,40,0.112790575
paper_rank15,15,pchip,coefficient_prediction,0,40,0.028110649999999997
paper_rank15,15,pchip,coefficient_prediction,1,40,0.025148524999999998
paper_rank15,15,pchip,coefficient_prediction,2,40,0.030175875
paper_rank15,15,pchip,coefficient_prediction,3,40,0.031942874999999996
paper_rank15,15,pchip,coefficient_prediction,4,40,0.025749525000000002
paper_rank15,15,pchip,coefficient_prediction,5,40,0.024123075
paper_rank15,15,pchip,coefficient_prediction,6,40,0.0250822
paper_rank15,15,pchip,coefficient_prediction,7,40,0.02199375
paper_rank15,15,pchip,coefficient_prediction,8,40,0.031491025
paper_rank15,15,pchip,coefficient_prediction,9,40,0.028425899999999997
paper_rank15,15,pchip,coefficient_prediction,10,40,0.03152795
paper_rank15,15,pchip,coefficient_prediction,11,40,0.02988615
paper_rank15,15,pchip,coefficient_prediction,12,40,0.024193700000000002
paper_rank15,15,pchip,coefficient_prediction,13,40,0.030374325
paper_rank15,15,pchip,coefficient_prediction,14,40,0.033149575
paper_rank15,15,pchip,coefficient_prediction,15,40,0.03159055
paper_rank15,15,pchip,coefficient_prediction,16,40,0.027691274999999998
paper_rank15,15,pchip,coefficient_prediction,17,40,0.029502475
paper_rank15,15,pchip,coefficient_prediction,18,40,0.033354225
paper_rank15,15,pchip,coefficient_prediction,19,40,0.02863525
paper_rank15,15,pchip,coefficient_prediction,20,40,0.040229925
paper_rank15,15,pchip,coefficient_prediction,21,40,0.028967975
paper_rank15,15,pchip,coefficient_prediction,22,40,0.0296599
paper_rank15,15,pchip,coefficient_prediction,23,40,0.03186055
paper_rank15,15,pchip,coefficient_prediction,24,40,0.0317712
paper_rank15,15,pchip,full_field_prediction,0,40,0.0921174
paper_rank15,15,pchip,full_field_prediction,1,40,0.10236525
paper_rank15,15,pchip,full_field_prediction,2,40,0.091192425
paper_rank15,15,pchip,full_field_prediction,3,40,0.11954605
paper_rank15,15,pchip,full_field_prediction,4,40,0.094267875
paper_rank15,15,pchip,full_field_prediction,5,40,0.104699375
paper_rank15,15,pchip,full_field_prediction,6,40,0.085417325
paper_rank15,15,pchip,full_field_prediction,7,40,0.084983525
paper_rank15,15,pchip,full_field_prediction,8,40,0.08831449999999999
paper_rank15,15,pchip,full_field_prediction,9,40,0.11130052500000001
paper_rank15,15,pchip,full_field_prediction,10,40,0.0960898
paper_rank15,15,pchip,full_field_prediction,11,40,0.1021458
paper_rank15,15,pchip,full_field_prediction,12,40,0.095242975
paper_rank15,15,pchip,full_field_prediction,13,40,0.088450575
paper_rank15,15,pchip,full_field_prediction,14,40,0.09355685
paper_rank15,15,pchip,full_field_prediction,15,40,0.100539775
paper_rank15,15,pchip,full_field_prediction,16,40,0.08643809999999999
paper_rank15,15,pchip,full_field_prediction,17,40,0.08944755
paper_rank15,15,pchip,full_field_prediction,18,40,0.0914189
paper_rank15,15,pchip,full_field_prediction,19,40,0.090574775
paper_rank15,15,pchip,full_field_prediction,20,40,0.10049495
paper_rank15,15,pchip,full_field_prediction,21,40,0.0922099
paper_rank15,15,pchip,full_field_prediction,22,40,0.085679825
paper_rank15,15,pchip,full_field_prediction,23,40,0.08631665
paper_rank15,15,pchip,full_field_prediction,24,40,0.094976875
