model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,truth_norm,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,integral_error_percent,minimum_prediction,maximum_prediction,fraction_phi_lt_threshold_percent,fraction_phi_gt_one_percent,filename
validation_selected_rank,6,frozen_nn,fitting,73,83,84,1.838384,15.104209132500657,0.44456273989654504,0.3863942241306809,0.5890131799424155,2.303929616531697e-19,-0.028806523932629956,-1.7317625571471877e-08,0.5370479641134068,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_838384_num_84.stat
validation_selected_rank,6,frozen_nn,fitting,74,84,85,1.848485,15.121565863426323,0.41812040797552846,0.44212665583950966,0.6085233400367304,7.521652571618187e-19,-0.02845749336722939,-2.7383802471566435e-08,0.5372201455271306,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_848485_num_85.stat
validation_selected_rank,6,frozen_nn,fitting,75,85,86,1.858586,15.09636543763586,0.5743257554732687,0.7362805183932475,0.9337874892958355,5.014435047745458e-18,-0.025091222261533545,-4.025616288332132e-08,0.5373888537846151,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_858586_num_86.stat
validation_selected_rank,6,frozen_nn,fitting,76,86,87,1.868687,15.146583249873807,0.36562410760166986,0.3293083411168512,0.49206195909524053,-3.7608262858090935e-19,-0.026786095841173876,-6.522239006960431e-08,0.5375544559730192,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_868687_num_87.stat
validation_selected_rank,6,frozen_nn,fitting,77,87,88,1.878788,15.189145664707954,0.3777305015932318,0.5454554218380188,0.6634771654294828,-2.4191260973582818e-18,-0.025916955132508895,-9.064609846074687e-08,0.5377208824069234,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_878788_num_88.stat
validation_selected_rank,6,frozen_nn,fitting,78,88,89,1.888889,15.128388342214212,0.6030879165481298,0.5269514962807058,0.8008700984047754,3.598195959936268e-18,-0.01960153581459952,-1.1644623687748773e-07,0.537920718857018,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_888889_num_89.stat
validation_selected_rank,6,frozen_nn,fitting,79,89,90,1.89899,15.170819319744613,0.42931224644263194,0.4413795734978355,0.6157312180219214,8.639736061993863e-19,-0.019041707519271287,-1.4254618579798905e-07,0.5381154933739349,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_898990_num_90.stat
validation_selected_rank,6,frozen_nn,fitting,80,90,91,1.909091,15.179102126120826,0.3624576675213115,0.4388899015983022,0.5692098966725414,8.368685518872487e-19,-0.013362891608888872,-1.6887395360274867e-07,0.5383055343167886,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_909091_num_91.stat
validation_selected_rank,6,frozen_nn,fitting,81,91,92,1.919192,15.19893494145909,0.4442420068202301,0.48257083358673114,0.6559158254320825,-7.758821796849391e-19,-0.00600274004585409,-1.9536227743449198e-07,0.5384911376475249,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_919192_num_92.stat
validation_selected_rank,6,frozen_nn,fitting,82,92,93,1.929293,15.180010073571133,0.379920842708826,0.4421382109753524,0.5829460046428702,1.5551524911588954e-18,0.000685267999085461,-2.2194864352771235e-07,0.5386725696289902,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_929293_num_93.stat
validation_selected_rank,6,frozen_nn,fitting,83,93,94,1.939394,15.205939337359732,0.32520889481620247,0.3098410592209738,0.44917959353331927,7.047314121155779e-19,0.004859959393715601,-2.48575240896657e-07,0.5388500693663547,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_939394_num_94.stat
validation_selected_rank,6,frozen_nn,fitting,84,94,95,1.949495,15.218511241823213,0.3578659336620851,0.3007319152747287,0.4674480841127138,4.336808689942018e-19,0.00958422119255034,-2.7716851775971635e-07,0.5390238511962573,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_949495_num_95.stat
validation_selected_rank,6,frozen_nn,fitting,85,95,96,1.959596,15.257184856975613,0.2865804946424868,0.37268841199933517,0.4701329943198049,-1.2925722775100623e-18,0.020175809006386526,-3.3360245372515213e-07,0.5391941069277063,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_959596_num_96.stat
validation_selected_rank,6,frozen_nn,fitting,86,96,97,1.969697,15.220913155894998,0.39813864937310656,0.3666828091325213,0.5412676478766955,1.187540192050529e-18,0.028566933315744714,-3.901009955528842e-07,0.539361007938684,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_969697_num_97.stat
validation_selected_rank,6,frozen_nn,fitting,87,97,98,1.979798,15.243547437157048,0.35408097275008205,0.3053301553403854,0.4675466169526117,3.9810548520952116e-19,0.03980821943027543,-4.4655510586512285e-07,0.5395247071324784,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_979798_num_98.stat
validation_selected_rank,6,frozen_nn,fitting,88,98,99,1.989899,15.240908175145496,0.42259456141895757,0.51562328225091,0.6666734827035699,2.4292904927253334e-18,0.04486005323066665,-5.028651688829841e-07,0.5396853407579711,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_989899_num_99.stat
validation_selected_rank,6,frozen_nn,fitting,89,99,100,2.0,15.291006007061322,0.5215248319424403,0.85336765307644,1.0001122445254542,-3.984442983884229e-18,0.054637965307540254,-5.589405038682434e-07,0.5398430300983695,0.0,0.0,rotating_drum_bidisperse_size_ratio_2_000000_num_100.stat
