model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,mode,absolute_coefficient_error,field_normalised_error_percent
validation_selected_rank,6,frozen_nn,fitting,38,45,46,1.454545,4,0.004664807012718181,0.03255628619679104
validation_selected_rank,6,frozen_nn,fitting,38,45,46,1.454545,5,0.01706757986934846,0.11911682806987482
validation_selected_rank,6,frozen_nn,fitting,38,45,46,1.454545,6,0.006392755680548655,0.04461586148251602
validation_selected_rank,6,frozen_nn,fitting,39,46,47,1.464646,1,0.028510915223041167,0.19891916449824928
validation_selected_rank,6,frozen_nn,fitting,39,46,47,1.464646,2,0.05690058323899716,0.3969923935734352
validation_selected_rank,6,frozen_nn,fitting,39,46,47,1.464646,3,0.013571678601469739,0.09468889185505298
validation_selected_rank,6,frozen_nn,fitting,39,46,47,1.464646,4,0.05964541762507655,0.41614295954066605
validation_selected_rank,6,frozen_nn,fitting,39,46,47,1.464646,5,0.05050886266985358,0.35239769342530375
validation_selected_rank,6,frozen_nn,fitting,39,46,47,1.464646,6,0.02590883511634315,0.18076458767275397
validation_selected_rank,6,frozen_nn,fitting,40,47,48,1.474747,1,0.042324766235177336,0.29311381637933764
validation_selected_rank,6,frozen_nn,fitting,40,47,48,1.474747,2,0.0797355386850237,0.5521965063000114
validation_selected_rank,6,frozen_nn,fitting,40,47,48,1.474747,3,0.01935158430945283,0.1340164928120946
validation_selected_rank,6,frozen_nn,fitting,40,47,48,1.474747,4,0.039884450631044344,0.27621377691017757
validation_selected_rank,6,frozen_nn,fitting,40,47,48,1.474747,5,0.018144467923881115,0.1256567894501683
validation_selected_rank,6,frozen_nn,fitting,40,47,48,1.474747,6,0.008013730196566034,0.0554978857602654
validation_selected_rank,6,frozen_nn,fitting,41,48,49,1.484848,1,0.03387821507879352,0.23430225387610143
validation_selected_rank,6,frozen_nn,fitting,41,48,49,1.484848,2,0.06160334768943354,0.42604969525039765
validation_selected_rank,6,frozen_nn,fitting,41,48,49,1.484848,3,0.07051964192039994,0.48771492258540006
validation_selected_rank,6,frozen_nn,fitting,41,48,49,1.484848,4,0.011927127344714752,0.08248819522027392
validation_selected_rank,6,frozen_nn,fitting,41,48,49,1.484848,5,0.01674233106189149,0.11579021780862778
validation_selected_rank,6,frozen_nn,fitting,41,48,49,1.484848,6,0.03078841577721641,0.21293315462749657
validation_selected_rank,6,frozen_nn,fitting,42,49,50,1.494949,1,0.04000805370196581,0.27598379583406846
validation_selected_rank,6,frozen_nn,fitting,42,49,50,1.494949,2,0.07492570801597054,0.5168529681009354
validation_selected_rank,6,frozen_nn,fitting,42,49,50,1.494949,3,0.021504501881312255,0.14834248376430795
validation_selected_rank,6,frozen_nn,fitting,42,49,50,1.494949,4,0.01721271999083754,0.11873688820475868
validation_selected_rank,6,frozen_nn,fitting,42,49,50,1.494949,5,0.01070697078535248,0.07385889004345299
validation_selected_rank,6,frozen_nn,fitting,42,49,50,1.494949,6,0.003097409287839586,0.02136656731361229
