model,rank,method,evaluation_role,heldout_position,source_index,size_ratio,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual
validation_selected_rank,6,piecewise_linear,fitting_loo,21,23,1.232323,0.5263342283946866,1.78621946036324,1.8621513581232485,8.51098705401121e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,22,24,1.242424,0.5646509006012311,0.9970302801807959,1.145818493107521,1.2332799712022613e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,23,25,1.252525,0.491586225741702,0.9759307891018109,1.0927478768938053,6.4374503991326826e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,24,26,1.262626,0.5453420210989344,1.6519094938504488,1.7395984869645715,-8.944667923005412e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,25,27,1.272727,0.6391856505687638,1.5956293125217458,1.7188924337699838,6.559423143537302e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,26,29,1.292929,0.5456622486500221,0.6128925301652601,0.8206001115855158,-1.1858461261560205e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,27,30,1.30303,0.6587324303307349,0.5264883550653064,0.8432783661335084,-9.452887691357992e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,28,32,1.323232,0.48067089764572146,1.263728030054178,1.3520551193602035,-2.303929616531697e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,29,33,1.333333,0.5964808839385022,0.8886861236569541,1.0703048496968168,4.553649124439119e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,30,34,1.343434,0.7313027077804883,0.7477132764828945,1.0458866067771957,5.6446275605026575e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,31,35,1.353535,0.5315615051668358,1.092049925331771,1.2145495762595884,-1.3145951341386741e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,32,36,1.363636,0.37678903753463583,0.5886844415903578,0.6989415931083389,-5.827586677109586e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,33,38,1.383838,0.5037302965043994,0.3296162322382426,0.6019892625050385,1.4924720530620772e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,34,39,1.393939,0.5099476509085625,0.41823068511522,0.6595176363366562,-1.7618285302889447e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,35,41,1.414141,0.4786476210153905,0.5695369935744783,0.7439596307284061,-1.8973538018496328e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,36,43,1.434343,0.3778132588339673,1.1071367138194665,1.1698267229114419,1.328147661294743e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,37,44,1.444444,0.4805374634989692,0.900568222450427,1.0207543177050566,-2.927345865710862e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,38,45,1.454545,0.568743077936858,0.49206597027397797,0.7520622366551546,-8.436448154652831e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,39,46,1.464646,0.6350969931847414,1.0018904560665824,1.1862262333592333,2.9815559743351372e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,40,47,1.474747,0.5107886930033245,0.8680311707902184,1.0071659259344719,-3.97089045672816e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,41,48,1.484848,0.49425699273120727,0.5624969029079732,0.7487941911131208,-5.55653613398821e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,42,49,1.494949,0.4592333683738272,0.713715806248481,0.848696376047915,-2.6495190590114515e-18
