model,rank,evaluation_role,uncertainty_source,prediction_source,duration_scaling,size_ratio,source_simulation,quantity,mode,loo_eligible,exclusion_reason,observed_absolute,predicted_absolute,absolute_error,relative_error_percent
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,mode,2,False,endpoint_requires_extrapolation,0.01142299480078572,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,mode,3,False,endpoint_requires_extrapolation,0.017468593892322488,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,mode,4,False,endpoint_requires_extrapolation,0.028030434187185732,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,mode,5,False,endpoint_requires_extrapolation,0.013224120265452147,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,mode,6,False,endpoint_requires_extrapolation,0.023778011546740037,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,modal_vector_summary,0,False,endpoint_requires_extrapolation,0.04483039010641191,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,field,0,False,endpoint_requires_extrapolation,0.13211841645049532,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,mode,1,True,,0.012511541231614113,0.008496445295468044,0.004015095936146068,32.09113778885003
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,mode,2,True,,0.02421256207370287,0.014917067044532648,0.009295495029170223,38.39120784027234
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,mode,3,True,,0.012556563259967311,0.023491095709192618,0.010934532449225307,87.08220731134813
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,mode,4,True,,0.02423937485261334,0.026087951949945908,0.0018485770973325696,7.626339823418621
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,mode,5,True,,0.019890848137933976,0.012829408635725964,0.007061439502208012,35.500947235835014
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,mode,6,True,,0.020589507371759956,0.022904282895677357,0.0023147755239174006,11.242500765668089
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,modal_vector_summary,0,True,,0.04803722570849059,0.04707782054575972,0.016755016381704898,34.87923404107712
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.10101,11,field,0,True,,0.13136084217267183,0.12990127792773112,0.0014595642449407031,1.1111106025204438
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,mode,1,True,,0.010053808254977306,0.010349899752011418,0.00029609149703411185,2.9450680729615746
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,mode,2,True,,0.018411139288279577,0.01955079005131499,0.0011396507630354116,6.190006740978308
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,mode,3,True,,0.029513597526062745,0.01935337632348924,0.010160221202573504,34.42555992573002
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,mode,4,True,,0.024145469712706084,0.02554246867216935,0.0013969989594632658,5.78576012844398
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,mode,5,True,,0.01243469700599978,0.021243649936618047,0.008808952930618267,70.84171754541279
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,mode,6,True,,0.02203055424461468,0.028982538995839704,0.0069519847512250245,31.556104644641074
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,modal_vector_summary,0,True,,0.050339569593450394,0.05298683729729083,0.015247816851253891,30.28992296596386
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.20202,21,field,0,True,,0.12768413940496692,0.12952613776799918,0.0018419983630322545,1.4426211208505044
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,mode,1,True,,0.008188258272408728,0.009650414685358778,0.00146215641295005,17.856745162484106
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,mode,2,True,,0.01488901802892712,0.019886102136502604,0.004997084107575484,33.56221409542861
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,mode,3,True,,0.02615018938701116,0.026280037528981406,0.00012984814197024644,0.4965476159600673
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,mode,4,True,,0.02684556249172536,0.02014782298751108,0.006697739504214283,24.949149440540626
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,mode,5,True,,0.022596451735302114,0.015709253673275168,0.006887198062026947,30.479113016081083
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,mode,6,True,,0.03737557061991944,0.022534304469812742,0.014841266150106697,39.70846706537503
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,modal_vector_summary,0,True,,0.060006499415192455,0.048370840744740885,0.018430464021404636,30.714112972799757
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.30303,31,field,0,True,,0.12769143336332656,0.12403775033806393,0.00365368302526263,2.8613376238534585
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,mode,1,True,,0.00924702111574025,0.007763948478568532,0.0014830726371717184,16.038382724651044
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,mode,2,True,,0.021361064984725633,0.014715264385782733,0.006645800598942901,31.111747488690394
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,mode,3,True,,0.02304647753190006,0.019283855709741306,0.003762621822158755,16.326233876524846
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,mode,4,True,,0.016150176262316063,0.021646466197675587,0.005496289935359524,34.032383585709006
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,mode,5,True,,0.01898381034055056,0.020994141985407017,0.002010331644856457,10.58971623079413
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,mode,6,True,,0.023038054695010808,0.030027728501631656,0.006989673806620848,30.339687526371545
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,modal_vector_summary,0,True,,0.047168928712714824,0.04959509016499233,0.011984559621589348,25.407741809405987
validation_selected_rank,6,internal_validation,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.40404,41,field,0,True,,0.12039136127116092,0.11768443686587944,0.0027069244052814745,2.2484374100435587
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,mode,1,True,,0.0073396344840571765,0.007615542587488033,0.0002759081034308568,3.759153184401375
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,mode,2,True,,0.014541509022475557,0.015355567477106188,0.0008140584546306312,5.598170405646424
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,mode,3,True,,0.012417454055700076,0.023180843887972605,0.010763389832272529,86.67952209842669
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,mode,4,True,,0.01644731843252104,0.017532714453164983,0.0010853960206439438,6.599227862566376
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,mode,5,True,,0.019391816372629534,0.018630261812200778,0.0007615545604287566,3.9271956055836434
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,mode,6,True,,0.02267981363963416,0.02440050843220727,0.0017206947925731096,7.586900050916228
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,modal_vector_summary,0,True,,0.03975486959876471,0.04561807764299091,0.011014000979203235,27.704784571964662
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.505051,51,field,0,True,,0.10767734129906793,0.11488508166106408,0.0072077403619961455,6.693832030990661
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.606061,61,mode,1,True,,0.0059840802107294965,0.007081653245027901,0.0010975730342984045,18.341549505477026
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.606061,61,mode,2,True,,0.009350129423382926,0.012047299873453876,0.0026971704500709497,28.846343488313973
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.606061,61,mode,3,True,,0.023315208913830064,0.017111059942039715,0.006204148971790349,26.609879391259433
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.606061,61,mode,4,True,,0.01891523895700763,0.01607093328910003,0.002844305667907599,15.037112004624472
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.606061,61,mode,5,True,,0.01827671678395027,0.016617260816790765,0.001659455967159506,9.079617454141216
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.606061,61,mode,6,True,,0.025762948681231784,0.023211116522688646,0.0025518321585431374,9.905046934329135
