model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,truth_field_norm,projected_coefficient,predicted_coefficient,coefficient_error_absolute,coefficient_error_percent,modal_uncertainty_absolute,modal_uncertainty_percent,coefficient_error_to_uncertainty_ratio,mode_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,5,13.992508553246099,-0.028132536045785354,0.03618868028541309,0.06432121633119844,0.4596832375441119,0.021900690755111314,0.15651725830126872,2.9369492063252287,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,6,13.992508553246099,-0.021396810614431626,-0.0011651926991126278,0.020231617915318998,0.14458892655545671,0.029707859545673003,0.21231260593927687,0.6810190375450919,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,7,13.992508553246099,0.033407175851669066,-0.0011950523745106467,0.03460222822617971,0.24729109933724072,0.026944285787819662,0.19256222488832356,1.2842139702148598,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,8,13.992508553246099,-0.002414579921048417,0.0014292032497790624,0.0038437831708274793,0.027470293523142186,0.014694687965939597,0.10501825251720572,0.26157637234195624,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,9,13.992508553246099,-0.01413432035541916,0.009669982548267477,0.02380430290368664,0.17012176775239002,0.022953460791854032,0.16404107029492646,1.0370681405975417,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,10,13.992508553246099,-0.011382535544936664,0.0019839433004284895,0.013366478845365154,0.09552596515843677,0.01731741469458182,0.12376204473045957,0.771851865945509,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,11,13.992508553246099,0.004815470060456337,-0.0066510672927419575,0.011466537353198294,0.08194768871903381,0.015380650547008523,0.10992060850618807,0.7455170584724383,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,12,13.992508553246099,0.005572092211087197,0.001975091479613578,0.003597000731473619,0.025706618064844113,0.01311301615455705,0.0937145480716178,0.2743076565358753,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,13,13.992508553246099,0.0028081375992075356,0.003978127478358968,0.001169989879151432,0.008361544855943703,0.022815204617927572,0.16305299747438576,0.051281147758459524,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,14,13.992508553246099,-0.010702611227180431,-0.0008427087880470419,0.00985990243913339,0.07046558093292005,0.013018557355045056,0.0930394811302431,0.7573728924205569,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,15,13.992508553246099,-0.0021315257255949595,-0.0008845278921526326,0.001246997833442327,0.00891189616713179,0.01898244668951155,0.13566149784563,0.06569215517045734,True,True,False
